BMW 5 Series AC,4,4
BMW 7 Series AC,3,2
Bus 35 Seater AC,35,20
Bus 35 Seater Non Ac,35,7
Bus 42 Seater Non Ac,42,10
Bus 45 Seater AC,45,10
Chevrolet Tavera AC,6,4
Chevrolet Tavera Non AC,6,6
Ford Fiesta AC,4,3
Ford Ikon AC,4,3
Honda Accord AC,4,3
Honda City AC,4,2
Honda Civic AC,4,2
Hyundai Accent AC,4,2
Mahindra Logan AC,4,2
Mahindra Logan Non AC,4,4
Mahindra Xylo AC,6,2
Maruti SX4 AC,4,2
Mercedes C Class AC,3,2
Mercedes E Class AC,3,2
Mercedes S Class AC,3,2
Mini Bus 22 Seater AC,22,10
Mini Bus 22 Seater Non AC,22,10
Mini Bus 27 Seater AC,27,10
Mini Bus 27 Seater Non AC,27,15
Scorpio AC,6,4
Skoda AC,4,2
Sumo,7,4
Sumo Grand AC,7,4
Sunny Nissan AC,4,2
Swaraj Mazda 20 seater,20,15
Swift Dzire AC,4,2
Tata Indica AC,4,2
Tata Indica Non AC,4,2
Tata Indigo AC,4,2
Tata Indigo Manza,4,2
Tata Indigo Non AC,4,4
Tata Tourister 16 seater,16,12
Tata Winger 10 Seater AC,10,5
Tata Winger 10 Seater Non Ac,10,2
Tata Winger 12 Seater AC,12,8
Tata Winger 12 Seater Non AC,12,7
Tata Winger 8 Seater AC,8,5
Tata Winger 8 Seater Non AC,8,3
Tempo Traveller 12 AC,12,8
Tempo Traveller 12 Non AC,12,8
Tempo Traveller 17 AC,17,17
Tempo Traveller 17 Non AC,17,10
Toyota Altis AC,4,2
Toyota Camry AC,4,2
Toyota Corolla AC,4,3
Toyota Etios AC,4,2
Toyota Innova 7 Seater,7,5
Toyota Innova AC,6,4
Valvo Bus 42 Seater AC,42,30
