1,Adilabad,Andhra Pradesh 
10,Alibaug,Maharashtra
100,Hajo,Assam 
1000,Danta Ambaji,Gujarat 
1001,Bharuch,Gujarat
1002,Nowgong,Madhya Pradesh 
1003,Changanassery,Kerala 
1004,Calicut,Kerala 
1005,Kalka,Haryana
1006,Shravanbelgola,Karnataka 
1007,Secunderabad,Andhra Pradesh 
1008,Rudranath,Uttaranchal 
1009,Bhatinda,Punjab
101,Halebid,Karnataka 
1010,Sonagir,Madhya Pradesh 
1011,Datia,Madhya Pradesh 
1012,Salem,Tamil Nadu 
1013,Chitrakoot,Madhya Pradesh 
1014,Anand,Gujarat
1015,Kushalnagar,Karnataka 
1016,Dharmasthala,Karnataka 
1017,Rayagada,Orissa 
1018,Aligarh,Uttar Pradesh
1019,Maihar,Madhya Pradesh 
102,Hampi,Karnataka 
1020,Bhiwani,Haryana 
1021,Bellary,Karnataka 
1022,Sonipat,Haryana
1023,Mohali,Punjab 
1024,Rohtak,Haryana 
1025,Diu,Daman and Diu
1026,Sibsagar,Assam 
1027,Satna,Madhya Pradesh 
1028,Vani Nasik,Maharashtra 
1029,Taloja,Maharashtra 
103,Hansi,Haryana 
1030,Palani,Tamil Nadu 
1031,Dombivli,Maharashtra
1032,Chandrapur,Maharashtra 
1033,Hamirpur,Himachal Pradesh 
1034,Keolari,Madhya Pradesh 
1035,Kanipakam,Andhra Pradesh 
1036,Korba,Chhattisgarh 
1037,Ramtek,Maharashtra
1038,Raigarh,Chhattisgarh 
1039,Siddharthnagar,Uttar Pradesh
104,Haridwar,Uttarakhand
1040,Angul,Orissa 
1041,Nawada,Bihar 
1042,Bidar,Karnataka 
1043,Mithapur,Gujarat 
1044,Hatti,Karnataka 
1045,Ganga Sagar,Uttar Pradesh
1046,Khamgaon,Maharashtra 
1047,Thoothukudi,Maharashtra 
1048,Sarangpur,Madhya Pradesh 
1049,Katni,Madhya Pradesh 
105,Harihareshwar,Maharashtra 
1050,Mundra,Gujarat 
1051,Mandya,Karnataka 
1052,Dhanbad,Jharkhand 
1053,Itwa,Uttar Pradesh
1054,Ir Forest,Jharkhand 
1055,Gir Forest,Jharkhand 
1056,Faridabad,Haryana
1057,Nichlaul,Uttar Pradesh 
1058,Jharsuguda,Orissa
1059,Cherthala,Kerala 
106,Harsil,Uttaranchal 
1060,Vellore,Tamil Nadu 
1061,Koraput,Orissa 
1062,Guruvayoor,Kerala
1063,Damoh,Madhya Pradesh 
1064,Mandarmani,West Bengal 
1065,Beas,Punjab
1066,Basar,Andhra Pradesh 
1067,Amalner,Maharashtra 
1068,Vadinar,Gujarat
1069,Shirpur,Maharashtra 
107,Hassan,Karnataka 
1070,Dongargarh,Chhattisgarh 
1071,Ratapani Wildlife Sanctuary,Madhya Pradesh 
1072,Tiruchchirappalli,Chhattisgarh 
1073,Kolvan,Maharashtra
1074,Tenali,Andhra Pradesh 
1075,Alathur,Kerala
1076,Sundar Nagar,Andhra Pradesh 
1077,Azamgarh,Uttar Pradesh 
1078,Gonda,Uttar Pradesh 
1079,Shankarpur,West Bengal 
108,Hatkoti,Himachal Pradesh 
1080,Kasol,Himachal Pradesh
1081,Chandrapura,Maharashtra 
1082,Ahmedpur,West Bengal 
1083,Ambajogai,Maharashtra
1084,Balaghat,Madhya Pradesh 
1085,Chindwara,Madhya Pradesh 
1086,Mahur,Maharashtra
1087,Uppinangadi,Karnataka 
1088,Chikkodi,Karnataka 
1089,Sikar,Rajasthan
109,Hingoli,Maharashtra
1090,Manipal,Karnataka 
1091,Brahmapuri,Maharashtra
1092,Chakdaha,West Bengal 
1093,Achalpur,Maharashtra
1094,Beawar,Rajasthan 
1095,Tenga,Rajasthan 
1096,Lakhimpur Kheri,Uttar Pradesh
1097,Banpur,Rajasthan 
1098,Udaipur HP,Rajasthan 
1099,Arni,Maharashtra
11,Allahabad,Uttar Pradesh
110,Hogenakkal,Tamil Nadu 
1100,Hisar,Haryana 
1101,Sonepat,Haryana 
1102,Khariar Rd,Orissa
1103,Chhatarpur,Madhya Pradesh 
1104,Moradabad,Uttar Pradesh
1105,Salbani,West Bengal 
1106,Kharagpur,West Bengal 
1107,Ezhimalai,Kerala 
1108,Obra,Uttar Pradesh 
1109,Port Blair,Andaman 
111,Howrah,West Bengal 
1110,Narasaraopet,Andhra Pradesh 
1111,Jejuri,Maharashtra 
1112,Gadchiroli,Maharashtra 
1113,Batala,Punjab 
1114,Salkanpur,Madhya Pradesh 
1115,Jajpur,Orissa
1116,Dakor,Gujarat 
1117,Haidargarh,Gujarat 
1118,Amethi,Uttar Pradesh 
1119,Kunnur,Karnataka 
112,Hyderabad,Andhra Pradesh 
1120,Khandwa,Madhya Pradesh 
