Hotel Code,HOTEL NAME,Area,Cat
382,AQUILA ATLANTIS,CRETE,5
523,ASTORIA CAPSIS,CRETE,4
425,Achilleas,ATHENS,3
1300,Acqua Vatos,SANTORINI,4
1115,Acropolis Hill,ATHENS,3
820,Adamant Suites,SANTORINI,4
1088,Aegean Mykonos,MYKONOS,3
244,Aegean Pearl,CRETE,5
32,Aegean Plaza,SANTORINI,4
273,Airotel Alexandros,ATHENS,4
488,Airotel Parthenon,ATHENS,4
363,Albatros Santorini,SANTORINI,3
601,Albatros Spa and Resort,CRETE,4
38,Aldemar Paradise Royal Mare,RHODES,4
634,Aldemar Royal Mare and Thalasso,CRETE,5
1079,Alesahne,SANTORINI,3
940,Alta Mare,SANTORINI,4
622,Amalia Athens,ATHENS,4
259,Andromeda Villas,SANTORINI,4
1112,Andronis Boutique Hotel,SANTORINI,5
719,Andronis Luxury Suites,SANTORINI,5
357,Apollonia Beach,CRETE,5
17,Aquis Silva Beach,CRETE,4
750,Archipelagos Resort,PAROS,5
154,Aressana Spa Hotel and Suites,SANTORINI,4
633,Arion,ATHENS,3
301,Arkadi,CRETE,3
1180,Artemis Suites,SANTORINI,4
472,Asterias,PAROS,2
187,Astir of Naxos,NAXOS,3
774,Astir of Thira,SANTORINI,3
175,Astra Apartments and Suites,SANTORINI,4
54,Athenaeum Intercontinental,ATHENS,5
435,Athenian Callirhoe,ATHENS,4
53,Athens Electra,ATHENS,4
107,Athens Electra Palace,ATHENS,4
424,Athens Gate,ATHENS,4
1027,Atrium Platinum,RHODES,5
500,Belvedere Villas,SANTORINI,4
805,Bill and Coo Suites and Lounge,MYKONOS,5
291,Blue Horizon,RHODES,4
396,Blue Palace Resort and Spa,CRETE,5
418,Canaves Oia Traditional Houses,SANTORINI,4
326,Candia,ATHENS,3
416,Casa Delfino,CRETE,3
504,Cavo Tagoo,MYKONOS,5
147,Chromata,SANTORINI,4
300,Cliff Side Suites,SANTORINI,3
640,Costa Marina Villas,SANTORINI,2
222,Creta Maris Beach Resort,CRETE,5
30,Daedalus,SANTORINI,4
148,Dana Villas,SANTORINI,4
371,Dionysos Ios,IOS,3
3,Divani Caravel,ATHENS,5
24,Divani Palace Acropolis,ATHENS,5
856,Dreams Luxury Suites,SANTORINI,5
51,El Greco,SANTORINI,4
636,Galaxy Heraklion,CRETE,5
577,Grace Mykonos,MYKONOS,5
153,Grand Holiday Resort,CRETE,4
56,Grande Bretagne,ATHENS,5
657,Harmony Boutique,MYKONOS,4
433,Hermes Athens,ATHENS,3
109,Herodion,ATHENS,4
465,Hersonissos Maris,CRETE,4
15,High Mill,PAROS,3
1099,Hommers Inn Ios,IOS,2
29,Honeymoon Petra Villas,SANTORINI,4
619,Icons Santorini Hotel,SANTORINI,5
11,Ios Palace,IOS,3
239,Jason Inn,ATHENS,3
519,KAMARI BEACH JTR,SANTORINI,3
28,Kallisti Thera,SANTORINI,3
162,Kamari,MYKONOS,4
484,Katikies,SANTORINI,5
989,Kernos Beach,CRETE,4
440,King George Palace,ATHENS,5
165,King Jason,ATHENS,3
49,King Thiras,SANTORINI,2
145,Kirini Suites and Spa,SANTORINI,5
485,Kivotos,MYKONOS,5
208,Kouros,MYKONOS,4
203,Kydon Hotel,CRETE,4
55,LEDRA MARRIOTT,ATHENS,5
351,Loucas,SANTORINI,3
156,MEDITERRANEAN BEACH,RHODES,4
31,Maistros Village,SANTORINI,2
199,Majestic,SANTORINI,5
432,Mediterranean Rhodes,RHODES,4
600,Megaron,CRETE,5
97,Melia Athens,ATHENS,4
9,Metropolitan,ATHENS,5
973,Minoa Palace,CRETE,5
1080,Miramare Resort,CRETE,4
39,Myconian Ambassador,MYKONOS,5
139,Myconian Imperial Resort,MYKONOS,5
502,Myconian K Hotels,MYKONOS,3
246,Mykonos Ammos,MYKONOS,4
46,Mykonos Beach,MYKONOS,2
140,Mykonos Grand,MYKONOS,5
42,Mykonos Palace,MYKONOS,4
770,Mystique Resort hotel Santorini,SANTORINI,5
57,NJV Athens Plaza,ATHENS,5
14,Naxos Magic Village,NAXOS,4
900,Naxos Resort Beach,NAXOS,4
679,Neptuno Beach Resort,CRETE,4
1066,New Hotel,ATHENS,4
117,ON THE ROCKS,SANTORINI,4
111,OSCAR,ATHENS,3
760,Olympic Hotel,CRETE,3
37,Olympic Palace,RHODES,5
283,PELICAN JTR,SANTORINI,0
791,PERIVOLAS,SANTORINI,4
517,Pandrossos,PAROS,3
186,Panorama,PAROS,3
654,Paros Agnanti,PAROS,4
647,Pearl Beach,CRETE,4
632,Pelican Bay Art,MYKONOS,4
43,Petasos Beach,MYKONOS,4
143,Petasos Town,MYKONOS,3
110,Philippos,ATHENS,3
166,Plaka,ATHENS,3
509,Polis Grand,ATHENS,4
1089,Porto Del Colombo,CRETE,4
349,Porto Fira,SANTORINI,4
27,Porto Mykonos,MYKONOS,4
515,Porto Naxos,NAXOS,4
352,Porto Veneziano,CRETE,3
606,President,ATHENS,4
214,ROSE BAY,SANTORINI,4
4,Radisson Blu Park,ATHENS,5
356,Rodos Palace,RHODES,5
417,Rodos Park Suites,RHODES,5
69,Royal Myconian,MYKONOS,5
113,Royal Olympic,ATHENS,5
402,SANTORINI PRINCESS,SANTORINI,4
403,Saint George Lycabettus,ATHENS,5
1301,San Antonio Summerland,MYKONOS,4
372,Santa Marina Beach,CRETE,4
808,Santa Marina Plaza,CRETE,5
607,Santa Marina Resort,MYKONOS,5
45,Santo Miramare,SANTORINI,4
50,Santorini Palace,SANTORINI,4
428,Sofitel Athens Airport,ATHENS,5
491,Sun Rocks,SANTORINI,4
776,The GDM Island,CRETE,4
455,The Ixian Grand,RHODES,5
1101,Theoxenia Mykonos,MYKONOS,5
2,Titania,ATHENS,4
135,Tzekos Villas,SANTORINI,3
206,Vedema,SANTORINI,5
1154,Viennoulas Garden,MYKONOS,3
860,Xenones Filotera,SANTORINI,4
44,Yiannaki,MYKONOS,4
10,Yria,PAROS,5
