ID,TYPE,NAME (en),CAPACITY,DESCRIPTION (en),BAGGAGES,BAGGAGES TYPE,EXTRA PASSENGERS
3199,auto,TAXI 2 PAX,2,,2,P,0
3200,auto,quality service max 2pax,2,,2,P,0
13,auto,MERCEDES BENZ  4p,4,,4,T,0
15,auto,MERCEDES MONOVOLUME VIANO MAX 5 PAX,5,,5,T,0
19,auto,VIVARO OPEL MAX 8P,8,,8,T,0
21,auto,DELUXE MINIVAN MAX 6 PAX,6,air conditioned,6,T,0
24,auto,OPEL NEW ZAFIRA- 5 PAX,5,,5,T,0
37,auto,MINIVAN - 9PAX,9,,9,T,0
49,auto,BUS 22,22,,22,T,0
42,auto,BUS 28,28,,28,T,0
44,auto,MINIBUS- 20 P,20,,20,T,0
46,auto,BUS- 40P ,40,,40,T,0
50,auto,BUS 33,33,,33,T,0
53,auto,BMW 5- 3P,3,,3,T,0
55,auto,MERCEDES S CLASSE - MAX 3PAX,3,,3,T,0
60,auto,STRETCH LIMOUSINE- 5 P,5,,5,T,0
62,auto,STRETCH LIMOUSINE- MAX 4 PAX,4,,4,T,0
73,auto,SALOON- 3 PAX,3,,3,T,0
54,auto,AUDI A 6- 3P,3,,3,T,0
56,auto,BMW 7- 3P,3,,3,T,0
58,auto,MERCEDES S CLASS 500- 4P,4,,4,T,0
61,auto,ESPACE IV MAX 4 PAX,4,,4,T,0
74,pax,ON FOOT - LUGGAGE TRANSFERRED SEPARATELY BY  PORTERS,9,,9,T,0
80,auto,MERCEDES 815 DELUXE- 28P,28,,28,T,0
82,auto,MERCEDES SPRINTER- 15P,15,,15,T,0
79,auto,MINIVAN MERCEDES VIANO- 8P,8,,8,T,0
81,auto,BUS- 52P,52,,52,T,0
83,auto,SPRINTER MERCEDES DELUXE- 19P,19,,19,T,0
87,auto,Stretch Limousine 6P,6,,5,T,0
89,auto,BUS 18P,18,,18,T,0
91,auto,PV. CAR - PV. BOAT - ASSISTANT,9,,9,T,0
95,auto,FORD TRANSIT- 6P,6,,6,T,0
104,auto,BMW CLASS 7 LONG  MAX 3 PAX,3,,3,T,0
107,auto,BUS 25 P,25,,25,T,0
84,auto,BUS 7 SEATS,7,,7,T,0
88,auto,PEUGEOT 607 PACK,4,,4,T,0
90,auto,BUS 35P,35,,35,T,0
92,auto,PV CAR- ASSISTANT - PORTERS,9,,9,T,0
96,auto,MINUBUS 12P,12,,12,T,0
103,auto,MERCEDES E CLASS MAX 3 PAX,3,,3,T,0
108,auto,SEDAN 2 P,2,,2,T,0
110,auto,BUS 26 PAX DELUXE ,26,,26,T,0
112,auto,STANDARD CAR 2 P,2,,2,T,0
